target_gene,rank,integrated_score,direction,peak_condition,context_specificity,causal_component,genetics_component,drug_component,novelty_component,peak_signed_score,peak_emp_z,peak_emp_fdr,peak_kd,genetics_tier,genetics_autoimmune,lof_constrained,lof_bin,ot_top_disease,ot_top_score,ot_autoimmune_disease,ot_autoimmune_score,primary_class,suggested_modality,tractability_tier,is_druggable,novelty_class,n_drugs,drug_stages,max_drug_stage,novel_priority,in_paper_noms,evidence_n,ensembl_id
IL4R,1,0.8689922711127874,brake_agonize,Stim48hr,0.82592946,0.9942797711908476,0.966457163026331,1.0,0.15,1.4309325,6.7257023,7.237156455787191e-08,-8.646176007212214,strong,0.966457163026331,False,2.0,asthma,0.742,asthma,0.742,catalytic_receptor,antibody/biologic (surface),clinical_precedent,True,approved_drug_exists,2.0,APPROVAL;PHASE_3,4.0,False,False,3,ENSG00000077238
IL2RA,2,0.8438871935947402,driver_antagonize,Stim8hr,0.5216995,0.9765990639625585,0.9028117061582344,1.0,0.15,-0.93097264,-5.5164566,1.0968002927687112e-05,-16.182706665204417,strong,0.9028117061582344,False,4.0,immunodeficiency due to CD25 deficiency,0.787,immunodeficiency due to CD25 deficiency,0.787,catalytic_receptor,antibody/biologic (surface),clinical_precedent,True,approved_drug_exists,7.0,APPROVAL;PHASE_2;PHASE_3,4.0,False,False,3,ENSG00000134460
STAT3,3,0.8317353094123766,driver_antagonize,Stim8hr,0.3768046,0.7727509100364015,1.0,1.0,0.35,-0.91831446,-3.9823356,0.0024419274440240775,-17.634071718623293,strong,0.9135014601681036,True,0.0,Autosomal dominant hyper-IgE syndrome,0.777,Autosomal dominant hyper-IgE syndrome,0.777,transcription_factor,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,True,3,ENSG00000168610
CREBBP,4,0.8202500260010401,driver_antagonize,Stim8hr,0.61265045,0.9136765470618825,0.802,1.0,0.35,-1.209808,-4.6357317,0.00031473284844676686,-23.397890150711373,strong,0.652,True,0.0,Rubinstein-Taybi syndrome due to CREBBP mutations,0.839,diffuse large B-cell lymphoma,0.652,,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000005339
IL10RB,5,0.8175148052515867,driver_antagonize,Stim48hr,0.5832337,0.8387935517420697,0.8777499921976097,1.0,0.35,-0.6579717,-4.2507105,0.0020723339811482082,-15.271029936918088,strong,0.8777499921976097,False,5.0,inflammatory bowel disease 25,0.731,inflammatory bowel disease 25,0.731,catalytic_receptor,antibody/biologic (surface),clinical_precedent,True,clinical_stage_drug,3.0,PHASE_2;PHASE_3,3.0,False,False,3,ENSG00000243646
IRF8,6,0.7949033023689043,brake_agonize,Stim8hr,0.6067723,0.9812792511700468,0.9608945232369611,0.15,1.0,0.96259516,5.646163,7.203229930406069e-06,-12.212445366013316,strong,0.8108945232369611,True,1.0,immunodeficiency 32B,0.586,B-cell chronic lymphocytic leukemia,0.485,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,False,3,ENSG00000140968
IL6R,7,0.7899033913581395,driver_antagonize,Stim8hr,0.75733125,0.8148725949037962,0.906155696969496,1.0,0.15,-0.622319,-4.134153,0.0015550717934922106,-3.997174829408627,strong,0.906155696969496,False,4.0,rheumatoid arthritis,0.74,rheumatoid arthritis,0.74,catalytic_receptor,antibody/biologic (surface),clinical_precedent,True,approved_drug_exists,5.0,APPROVAL;PHASE_2,4.0,False,False,3,ENSG00000160712
PRKCQ,8,0.7895907436297452,driver_antagonize,Stim8hr,0.61897945,0.7311492459698388,1.0,1.0,0.15,-0.54573977,-3.8381424,0.0037830366045472907,-7.907312959240138,strong,0.928449942677044,True,1.0,acute myeloid leukemia,0.541,acute myeloid leukemia,0.541,enzyme,small molecule,clinical_precedent,True,approved_drug_exists,5.0,APPROVAL;PHASE_1;PHASE_2,4.0,False,False,3,ENSG00000065675
STAT4,9,0.7893078523140926,driver_antagonize,Stim48hr,0.25425768,0.9303172126885075,1.0,0.15,1.0,-0.75221604,-4.786642,0.000444930236804645,-16.732726852325207,strong,0.8668375080825467,True,1.0,disabling pansclerotic morphea of childhood,0.617,rheumatoid arthritis,0.586,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,False,3,ENSG00000138378
CD2,10,0.7770805295103649,driver_antagonize,Stim8hr,0.5760955,0.983879355174207,0.6718718291704483,1.0,0.15,-1.1457816,-5.7509675,4.403915542954705e-06,-50.578725404681904,strong,0.6718718291704483,False,6.0,hypothyroidism,0.451,rheumatoid arthritis,0.431,,antibody/biologic (surface),clinical_precedent,True,approved_drug_exists,2.0,APPROVAL;PHASE_2,4.0,False,False,3,ENSG00000116824
STAT6,11,0.7733823032649367,brake_agonize,Stim48hr,0.74514407,0.921996879875195,0.956344547024568,0.15,1.0,1.0893518,4.709111,0.0005621280375800768,-13.180099597182386,strong,0.8063445470245679,True,1.0,"hyper-IgE syndrome 6, autosomal dominant, with recurrent infections",0.731,"hyper-IgE syndrome 6, autosomal dominant, with recurrent infections",0.731,transcription_factor,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000166888
ADAM17,12,0.7673876787341611,driver_antagonize,Rest,0.6260084,0.5876235049401977,0.995318956848313,1.0,0.35,-0.50324315,-3.544788,0.018326410655767206,-17.17241381877212,strong,0.8453189568483129,True,1.0,neonatal inflammatory skin and bowel disease,0.765,neonatal inflammatory skin and bowel disease,0.765,enzyme,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000151694
PTPN2,13,0.7653211046458912,brake_agonize,Rest,0.4182124,0.9537181487259491,0.8935231135968951,0.15,1.0,1.0220441,5.0367203,0.0001340439104716008,-7.271300386225767,strong,0.8935231135968951,False,2.0,rheumatoid arthritis,0.484,rheumatoid arthritis,0.484,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000175354
INPP5D,14,0.7652223088923558,brake_agonize,Stim48hr,0.8565079,0.9344773790951638,0.595,1.0,0.35,1.0074807,4.8130493,0.0004089901480938582,-24.36659352699218,moderate,0.445,True,0.0,hypothyroidism,0.492,allergic rhinitis,0.445,enzyme,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_3,3.0,False,False,3,ENSG00000168918
STAT5B,15,0.7647385855434219,driver_antagonize,Stim48hr,0.6496923,0.8959958398335933,0.9570000000000001,0.15,1.0,-1.0070873,-4.517819,0.0010069078617929328,-8.918683919969254,strong,0.807,True,0.0,"growth hormone insensitivity with immune dysregulation 1, autosomal recessive",0.807,"growth hormone insensitivity with immune dysregulation 1, autosomal recessive",0.807,transcription_factor,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000173757
PSMB9,16,0.7621623504940197,brake_agonize,Rest,0.9036815,0.9963598543941757,0.608,1.0,0.15,1.3160408,7.097032,2.055273838979516e-09,-26.67171877701092,strong,0.608,False,4.0,plasma cell myeloma,0.608,plasma cell myeloma,0.608,enzyme,small molecule,clinical_precedent,True,approved_drug_exists,7.0,APPROVAL;PHASE_2;PHASE_3,4.0,False,False,3,ENSG00000240065
ITGAL,17,0.7604020235035418,brake_agonize,Stim8hr,0.7744271,0.9084763390535622,0.7017335607511022,1.0,0.15,0.7263284,4.5958247,0.0003699498012596256,-24.363999095877084,strong,0.7017335607511022,False,2.0,psoriasis vulgaris,0.585,psoriasis vulgaris,0.585,kinase,small molecule,clinical_precedent,True,approved_drug_exists,4.0,APPROVAL;UNKNOWN,4.0,False,False,3,ENSG00000005844
PPP5C,18,0.7575012257383058,driver_antagonize,Stim48hr,0.24023354,0.6791471658866355,0.858637297789499,1.0,0.35,-0.55440825,-3.7313082,0.007998656446129768,-7.7433155049355875,strong,0.708637297789499,True,1.0,Crohn disease,0.377,Crohn disease,0.377,,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000011485
SIK2,19,0.7556762351443582,brake_agonize,Rest,0.7355267,0.9183567342693708,0.9014498183092401,0.15,1.0,0.90041083,4.672508,0.0005997110969468499,-6.083567289023719,strong,0.7514498183092401,True,1.0,asthma,0.44,asthma,0.44,kinase,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000170145
TBX21,20,0.7523130609745369,driver_antagonize,Stim8hr,0.4256072,0.9984399375975039,0.7994782739712848,0.15,1.0,-1.4742275,-7.4424825,3.759742329962266e-10,-15.850480772722758,strong,0.6494782739712848,True,0.0,hypothyroidism,0.553,"asthma, nasal polyps, and aspirin intolerance",0.436,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,False,3,ENSG00000073861
SRP54,21,0.7465024440977639,driver_antagonize,Stim8hr,0.6992084,0.8855954238169527,0.908,0.15,1.0,-0.72606874,-4.4732018,0.0005217101491372426,-15.32660802304004,strong,0.758,True,0.0,"neutropenia, severe congenital, 8, autosomal dominant",0.758,"neutropenia, severe congenital, 8, autosomal dominant",0.758,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000100883
NF1,22,0.7430837753510141,driver_antagonize,Stim8hr,0.5260707,0.8658346333853354,0.919,0.15,1.0,-0.61079013,-4.3731136,0.0007220175363201947,-8.745353926464428,strong,0.769,True,1.0,neurofibromatosis type 1,0.886,juvenile myelomonocytic leukemia,0.769,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000196712
STAT1,23,0.7410247529901196,driver_antagonize,Stim8hr,0.18157554,0.8200728029121165,0.964,0.15,1.0,-0.704089,-4.15666,0.0014570319017518142,-15.807317345983964,strong,0.814,True,0.0,Chronic mucocutaneous candidosis,0.814,Chronic mucocutaneous candidosis,0.814,transcription_factor,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000115415
SLAMF7,24,0.7361774310972439,brake_agonize,Stim8hr,0.8176823,0.9287571502860115,0.598,1.0,0.15,0.8674105,4.7731123,0.00019352220309345658,-11.91808413905966,strong,0.598,False,5.0,plasma cell myeloma,0.598,plasma cell myeloma,0.598,,antibody/biologic (surface),clinical_precedent,True,approved_drug_exists,2.0,APPROVAL;PHASE_1,4.0,False,False,3,ENSG00000026751
GLS,25,0.7339540614069645,brake_agonize,Stim8hr,0.6306926,0.796671866874675,0.646952088898583,1.0,0.35,0.8095298,4.064354,0.0019291625863366113,-18.377002017747696,strong,0.646952088898583,False,6.0,"global developmental delay, progressive ataxia, and elevated glutamine",0.636,,0.0,,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000115419
SUOX,26,0.7225741304591098,driver_antagonize,Stim8hr,0.4962337,0.8205928237129485,0.9019085679890242,0.15,1.0,-0.55705255,-4.1588707,0.0014487305138860627,-2.2527736201384574,strong,0.9019085679890242,False,6.0,isolated sulfite oxidase deficiency,0.833,asthma,0.556,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000139531
IL21R,27,0.7223499294195161,driver_antagonize,Rest,0.46252525,0.8101924076963078,0.9129483693425716,0.15,1.0,-0.7005046,-4.117666,0.003857022070159436,-8.519445634543795,strong,0.9129483693425716,False,2.0,Cryptosporidiosis - chronic cholangitis - liver disease,0.74,Cryptosporidiosis - chronic cholangitis - liver disease,0.74,catalytic_receptor,antibody/biologic (surface),sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000103522
HRAS,28,0.7203690587623506,driver_antagonize,Stim8hr,0.31536883,0.7249089963598544,0.683,1.0,0.35,-0.5105006,-3.8279407,0.0038512921447678354,-14.306395828304732,strong,0.683,False,4.0,Costello syndrome,0.884,Noonan syndrome,0.683,enzyme,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000174775
SPPL3,29,0.719479380445776,brake_agonize,Rest,0.5822503,0.8928757150286012,0.809672124453505,0.15,1.0,0.64665765,4.502746,0.0011442590779673887,-11.211944979970225,strong,0.659672124453505,True,0.0,neurodegenerative disease,0.37,allergic rhinitis,0.301,,antibody/biologic (surface),ab_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000157837
CTH,30,0.7189686543960716,brake_agonize,Rest,0.4046728,0.9947997919916797,0.692455750396335,0.15,1.0,0.87739736,6.787947,1.440852243742544e-08,-1.8946694907891688,strong,0.692455750396335,False,5.0,cystathioninuria,0.717,ankylosing spondylitis,0.287,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000116761
CTSH,31,0.7174204022232209,driver_antagonize,Stim8hr,0.5182866,0.8179927197087884,0.8876762584074425,0.15,1.0,-0.5961048,-4.1484447,0.0014868004259537626,-7.13951309926869,strong,0.8876762584074425,False,7.0,type 1 diabetes mellitus,0.545,type 1 diabetes mellitus,0.545,enzyme,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000103811
YES1,32,0.7141039521580863,driver_antagonize,Stim48hr,0.87340647,0.8788351534061363,0.581,1.0,0.15,-0.6528246,-4.4434714,0.001188787948834807,-10.869724922650878,strong,0.581,False,3.0,"chronic myelogenous leukemia, BCR-ABL1 positive",0.581,"chronic myelogenous leukemia, BCR-ABL1 positive",0.581,enzyme,small molecule,clinical_precedent,True,approved_drug_exists,6.0,APPROVAL;PHASE_1;PHASE_2,4.0,False,False,3,ENSG00000176105
GATA3,33,0.713988039521581,brake_agonize,Stim8hr,0.33278793,0.7087883515340614,1.0,0.15,1.0,0.8135767,3.7970784,0.004220422735578892,-19.995103304780407,strong,0.953711371065416,True,0.0,hypoparathyroidism-deafness-renal disease syndrome,0.821,asthma,0.556,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,False,3,ENSG00000107485
STING1,34,0.7139377416235799,driver_antagonize,Stim48hr,0.7309096,0.7722308892355694,0.607930797611621,1.0,0.35,-0.61452127,-3.9817655,0.004421288060238984,-26.96295011479199,strong,0.607930797611621,False,3.0,STING-associated vasculopathy with onset in infancy,0.742,familial chilblain lupus,0.372,,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000184584
NPEPPS,35,0.7076105718223246,driver_antagonize,Stim48hr,0.47924757,0.7394695787831513,0.6239697167868435,1.0,0.35,-0.5955089,-3.8578525,0.006032510373368021,-10.687681287126814,moderate,0.4739697167868436,True,0.0,neurodegenerative disease,0.524,,0.0,enzyme,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000141279
TDRKH,36,0.7024356050089537,driver_antagonize,Stim48hr,0.46584433,0.9635985439417577,0.6727070002291871,0.15,1.0,-0.8674707,-5.2679315,8.64686125940573e-05,-6.301724465740801,strong,0.6727070002291871,False,2.0,Azoospermia,0.334,Crohn disease,0.269,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000182134
SP110,37,0.6998632865314613,driver_antagonize,Stim48hr,0.8665513,0.8887155486219449,0.749,0.15,1.0,-0.71200925,-4.4889836,0.0010350143295032072,-8.310190225150485,strong,0.749,False,3.0,hepatic veno-occlusive disease-immunodeficiency syndrome,0.749,hepatic veno-occlusive disease-immunodeficiency syndrome,0.749,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,False,3,ENSG00000135899
CDK2,38,0.6982639105564222,driver_antagonize,Stim48hr,0.85767144,0.8169526781071242,0.505,1.0,0.35,-0.75742555,-4.145224,0.0028388103091310925,-21.88494718232642,moderate,0.355,True,0.0,neurodegenerative disease,0.374,B-cell chronic lymphocytic leukemia,0.355,kinase,small molecule,clinical_precedent,True,clinical_stage_drug,14.0,PHASE_1;PHASE_1_2;PHASE_2;PHASE_3,3.0,False,False,3,ENSG00000123374
BATF,39,0.6970436217925258,driver_antagonize,Stim48hr,0.49646914,0.8996359854394176,0.7272246224770792,0.15,1.0,-0.88347214,-4.539379,0.0009359930897419822,-11.062747177024624,strong,0.7272246224770792,False,3.0,multiple sclerosis,0.351,multiple sclerosis,0.351,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,True,3,ENSG00000156127
ATP2A2,40,0.6953395406534236,brake_agonize,Rest,0.23207217,0.4539781591263651,0.906623221834865,1.0,0.35,1.6534796,3.3157375,0.031227464100239775,-10.057253422470598,strong,0.756623221834865,True,0.0,Darier disease,0.823,,0.0,transporter,small molecule,clinical_precedent,True,clinical_stage_drug,2.0,PHASE_2;PHASE_2_3,3.0,False,False,3,ENSG00000174437
CEPT1,41,0.6911346065866283,brake_agonize,Stim48hr,0.3004353,0.8346333853354134,0.7811975185752921,0.15,1.0,0.78808933,4.219756,0.0022885746148602437,-7.81068257305409,strong,0.631197518575292,True,0.0,neurodegenerative disease,0.354,Hashimoto thyroiditis,0.207,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000134255
MFSD6,42,0.6892808734135949,driver_antagonize,Stim48hr,0.7678225,0.84399375975039,0.7644099836615407,0.15,1.0,-0.6241984,-4.2640753,0.0020105681539050266,-5.406934078207955,strong,0.7644099836615407,False,2.0,neurodegenerative disease,0.405,systemic lupus erythematosus,0.376,,antibody/biologic (surface),ab_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000151690
SETBP1,43,0.6874807274205698,driver_antagonize,Stim48hr,0.6179247,0.7732709308372335,0.8385620364530344,0.15,1.0,-0.53643763,-3.9833162,0.004421288060238984,-5.019591788083661,strong,0.6885620364530344,True,0.0,Schinzel-Giedion syndrome,0.818,"chronic myelogenous leukemia, BCR-ABL1 positive",0.66,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,False,3,ENSG00000152217
IRF3,44,0.687078997796709,driver_antagonize,Stim8hr,0.7532673,0.8231929277171087,0.7806446745763066,0.15,1.0,-0.6271393,-4.171645,0.0013826008664839632,-9.850823158511115,strong,0.7806446745763066,False,4.0,Herpetic encephalitis,0.564,Herpetic encephalitis,0.564,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,False,3,ENSG00000126456
NEK6,45,0.6869595686887875,driver_antagonize,Stim8hr,0.5950018,0.8008320332813312,0.8055889245771162,0.15,1.0,-0.52641183,-4.085429,0.001788769224643606,-2.997543974717216,strong,0.8055889245771162,False,4.0,Abnormality of the skeletal system,0.468,asthma,0.434,kinase,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000119408
SLC15A4,46,0.6867114484769181,brake_agonize,Stim8hr,0.85392493,0.733749349973999,0.8807888982858616,0.15,1.0,0.6266344,3.8472013,0.003695947446954707,-10.923964838663633,strong,0.8807888982858616,False,3.0,systemic lupus erythematosus,0.51,systemic lupus erythematosus,0.51,transporter,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000139370
NAB1,47,0.6829709327445709,driver_antagonize,Stim8hr,0.52614605,0.7217888715548622,0.8818757213863923,0.15,1.0,-0.50163174,-3.819886,0.0039381273444957085,-15.149670730336611,strong,0.8818757213863923,False,2.0,primary biliary cholangitis,0.429,rheumatoid arthritis,0.392,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000138386
FBXO38,48,0.681720614079127,brake_agonize,Rest,0.5919974,0.7758710348413936,0.816414874110177,0.15,1.0,0.80706376,3.9922912,0.005595439747116403,-10.673447467484005,strong,0.666414874110177,True,1.0,distal hereditary motor neuropathy type 2,0.596,asthma,0.422,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000145868
PLA2G4A,49,0.6807143307576466,brake_agonize,Stim8hr,0.93115747,0.890795631825273,0.3628127197901791,1.0,0.35,0.7862081,4.496093,0.0004965317846972062,-3.530188484148113,moderate,0.3628127197901791,False,4.0,cytosolic phospholipase-A2 alpha deficiency associated bleeding disorder,0.615,,0.0,enzyme,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000116711
PDE7B,50,0.680092475896102,driver_antagonize,Stim8hr,0.34467912,0.8185127405096204,0.53599381374277,1.0,0.15,-0.56095326,-4.155165,0.0014608171161254653,-4.626796418722622,strong,0.53599381374277,False,3.0,stroke disorder,0.572,,0.0,enzyme,small molecule,clinical_precedent,True,approved_drug_exists,4.0,APPROVAL,4.0,False,False,3,ENSG00000171408
DAGLB,51,0.6784238347461308,driver_antagonize,Stim48hr,0.42516172,0.8632345293811753,0.7064136491884372,0.15,1.0,-0.7012189,-4.356021,0.0015665228273690933,-4.62392787348633,strong,0.7064136491884372,False,6.0,"osteogenesis imperfecta, type 21",0.493,ulcerative colitis,0.383,enzyme,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000164535
ARID1A,52,0.6749606225388166,driver_antagonize,Stim48hr,0.452411,0.8075923036921477,0.7579307976116211,0.15,1.0,-0.6976599,-4.1052384,0.0031520772436763197,-4.90310720779147,strong,0.607930797611621,True,0.0,"intellectual disability, autosomal dominant 14",0.769,,0.0,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000117713
STIM1,53,0.6747609464378577,driver_antagonize,Stim48hr,0.5280257,0.6578263130525221,0.927,0.15,1.0,-0.55392134,-3.683529,0.009056893486464117,-22.24206479804744,strong,0.777,True,1.0,"myopathy, tubular aggregate, 1",0.782,combined immunodeficiency due to STIM1 deficiency,0.777,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000167323
SCAF8,54,0.6719706956858347,driver_antagonize,Stim8hr,0.58908254,0.7399895995839834,0.8245807727576008,0.15,1.0,-0.71046543,-3.8581636,0.003612394480453064,-12.322515544095832,strong,0.6745807727576008,True,0.0,asthma,0.344,asthma,0.344,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000213079
IFNG,55,0.67173141851741,driver_antagonize,Stim8hr,0.7104081,0.764950598023921,0.5688273839642564,1.0,0.15,-0.6009156,-3.9410307,0.0028321846135126076,-6.553946652418696,strong,0.5688273839642564,False,5.0,immunodeficiency 69,0.506,immunodeficiency 69,0.506,cytokine,biologic (secreted),clinical_precedent,True,approved_drug_exists,3.0,APPROVAL;PHASE_1;PHASE_2,4.0,False,False,3,ENSG00000111537
MYO18A,56,0.6693,brake_agonize,Rest,0.6617819,1.0,0.521,0.15,1.0,1.9911307,12.143288,7.028715492980225e-30,-2.9425500737713217,moderate,0.371,True,1.0,cancer,0.607,"chronic myelogenous leukemia, BCR-ABL1 positive",0.371,,antibody/biologic (surface),ab_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000196535
ADAM19,57,0.6672775280323443,brake_agonize,Stim48hr,0.7348435,0.9807592303692148,0.5360646323560373,0.15,1.0,1.1934618,5.641377,3.534706506126973e-05,-6.240291494839422,strong,0.5360646323560373,False,3.0,coronary artery disorder,0.423,asthma,0.413,enzyme,small molecule,ab_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000135074
PELI2,58,0.6666412377608057,brake_agonize,Rest,0.6342359,0.9875195007800313,0.5262820249853171,0.15,1.0,0.82702845,5.968551,1.5892733018097713e-06,-2.6761318116267576,strong,0.5262820249853171,False,3.0,alcohol drinking,0.44,ulcerative colitis,0.298,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000139946
HEATR3,59,0.6662390186459489,brake_agonize,Stim8hr,0.5739701,0.983359334373375,0.5296561498633379,0.15,1.0,1.1395445,5.732935,4.694775302750042e-06,-5.082326091031544,strong,0.5296561498633379,False,6.0,Abnormality of the skeletal system,0.605,,0.0,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000155393
ITK,60,0.6603371814872595,driver_antagonize,Stim8hr,0.5758579,0.5574622984919396,0.766,1.0,0.15,-0.9571917,-3.477363,0.009676143769303848,-2.7816254529259905,strong,0.766,False,2.0,lymphoproliferative syndrome 1,0.766,lymphoproliferative syndrome 1,0.766,kinase,small molecule,clinical_precedent,True,approved_drug_exists,4.0,APPROVAL,4.0,False,False,3,ENSG00000113263
ACAP1,61,0.6598597448321217,brake_agonize,Stim8hr,0.7534488,0.8445137805512221,0.6657501981490205,0.15,1.0,0.6746784,4.267295,0.00102196557573043,-15.356907565642652,strong,0.5157501981490205,True,1.0,hypothyroidism,0.451,type 1 diabetes mellitus,0.34,,antibody/biologic (surface),ab_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000072818
PLCL1,62,0.6579710391938343,brake_agonize,Rest,0.5525899,0.6890275611024441,0.8356722280633442,0.15,1.0,0.5211999,3.7519655,0.011316255725938001,-3.851096614862148,strong,0.8356722280633442,False,2.0,Abnormality of the skeletal system,0.443,allergic rhinitis,0.392,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000115896
TUFM,63,0.6576128458366097,brake_agonize,Stim8hr,0.6004899,0.9011960478419136,0.5940206319011968,0.15,1.0,0.9948552,4.5489635,0.00042440796702222165,-22.36682130904241,strong,0.5940206319011968,False,2.0,combined oxidative phosphorylation defect type 4,0.769,ulcerative colitis,0.305,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000178952
YRDC,64,0.6566495510162411,brake_agonize,Stim8hr,0.7285059,0.8554342173686947,0.6426730570362829,0.15,1.0,0.668305,4.302926,0.0009162283000718438,-4.241233628864761,strong,0.6426730570362829,False,7.0,Galloway-Mowat syndrome 10,0.7,rheumatoid arthritis,0.1,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000196449
RIN3,65,0.6544208684567733,driver_antagonize,Stim48hr,0.8643175,0.6911076443057722,0.8214808979760357,0.15,1.0,-0.5457825,-3.7576928,0.007469294652981315,-1.427226658142613,strong,0.8214808979760357,False,3.0,Abnormality of the skeletal system,0.483,asthma,0.447,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000100599
FADS1,66,0.6539540240606863,driver_antagonize,Stim8hr,0.29001588,0.7009880395215808,0.8087269687444958,0.15,1.0,-0.552174,-3.7798822,0.0044102563472161295,-12.109822279411334,strong,0.6587269687444958,True,1.0,neurodegenerative disease,0.554,asthma,0.356,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000149485
ZFYVE26,67,0.6529089370195771,driver_antagonize,Stim8hr,0.42965275,0.9542381695267811,0.5182265312682385,0.15,1.0,-0.76998305,-5.037205,8.55904389799585e-05,-3.752902655792775,strong,0.5182265312682385,False,2.0,hereditary spastic paraplegia 15,0.799,,0.0,,undetermined,unknown,False,novel_undrugged,0.0,,,False,False,3,ENSG00000072121
CYLD,68,0.6523946515443478,brake_agonize,Rest,0.6286448,0.6006240249609984,0.917274943525361,0.15,1.0,0.5884851,3.5629597,0.017537751678734177,-10.511861117846095,strong,0.767274943525361,True,0.0,Brooke-Spiegler syndrome,0.753,plasma cell myeloma,0.471,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000083799
MTX1,69,0.6506779726023169,brake_agonize,Stim48hr,0.5377393,0.8814352574102964,0.5932999502760534,0.15,1.0,0.7085263,4.4583488,0.0011362642056854545,-6.524290364223893,strong,0.5932999502760534,False,4.0,gastric carcinoma,0.437,multiple sclerosis,0.242,,antibody/biologic (surface),ab_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000173171
